# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.641142707982e-10       7.633531327843e-15       2.363183514067e-13       0.000000000000e+00       8.555920349742e-11       8.877050440770e-12      -8.041389369218e-15 
   41       1.665718299211e-10       8.292734373799e-15       2.270228593800e-13       0.000000000000e+00       8.133381679148e-11       8.470880111963e-12      -7.285986830419e-15 
   42       1.690523320255e-10       8.987657920617e-15       2.162141339343e-13       0.000000000000e+00       7.738173478915e-11       8.089819720286e-12      -6.779573483510e-15 
   43       1.715553567661e-10       9.718769981258e-15       2.039299937412e-13       0.000000000000e+00       7.369247140396e-11       7.733509015263e-12      -6.528228761431e-15 
   44       1.740764853150e-10       1.048645898012e-14       1.902238315779e-13       0.000000000000e+00       7.023919707645e-11       7.400133939588e-12      -6.532894742087e-15 
   45       1.766102630938e-10       1.129108219323e-14       1.751396801275e-13       0.000000000000e+00       6.698833068725e-11       7.087127666768e-12      -6.779859922724e-15 
   46       1.791610176687e-10       1.213313835296e-14       1.586266891055e-13       0.000000000000e+00       6.393480114875e-11       6.793803998042e-12      -7.209827697018e-15 
   47       1.817346444690e-10       1.301313941597e-14       1.406004019308e-13       0.000000000000e+00       6.107511425074e-11       6.519308869953e-12      -7.738871690692e-15 
   48       1.843353801159e-10       1.393156116893e-14       1.209655618198e-13       0.000000000000e+00       5.839671838305e-11       6.261798807032e-12      -8.265793525277e-15 
   49       1.869656237334e-10       1.488884201305e-14       9.961540808471e-14       0.000000000000e+00       5.587733068317e-11       6.018369174250e-12      -8.671170954611e-15 
   50       1.896262066729e-10       1.588533774631e-14       7.645378677832e-14       0.000000000000e+00       5.349165826891e-11       5.785920195359e-12      -8.852009019199e-15 
   51       1.923177025535e-10       1.692117426059e-14       5.147019062502e-14       0.000000000000e+00       5.123527606869e-11       5.564198588095e-12      -8.838990201981e-15 
   52       1.950391639439e-10       1.799635275974e-14       2.468387143872e-14       0.000000000000e+00       4.910606556313e-11       5.353457526441e-12      -8.709405147539e-15 
   53       1.977875511808e-10       1.911078705905e-14      -3.876832843107e-15       0.000000000000e+00       4.709706805809e-11       5.153564072129e-12      -8.555037686506e-15 
   54       2.005575747826e-10       2.026430029903e-14      -3.417412824519e-14       0.000000000000e+00       4.519615883620e-11       4.963971557251e-12      -8.482888408201e-15 
   55       2.033438916343e-10       2.145669926581e-14      -6.617442255101e-14       0.000000000000e+00       4.338974965478e-11       4.783943827277e-12      -8.587589417536e-15 
   56       2.061486934486e-10       2.268802650135e-14      -9.989411930964e-14       0.000000000000e+00       4.167571981877e-11       4.613356473336e-12      -8.858966168603e-15 
   57       2.089757274163e-10       2.395836506677e-14      -1.353645521094e-13       0.000000000000e+00       4.005312671482e-11       4.452046269218e-12      -9.252779400381e-15 
   58       2.118280431516e-10       2.526776616616e-14      -1.726191263574e-13       0.000000000000e+00       3.851829368829e-11       4.299559332820e-12      -9.716650908319e-15 
   59       2.147079268109e-10       2.661624888399e-14      -2.116934958995e-13       0.000000000000e+00       3.706464114339e-11       4.155133321510e-12      -1.018968417610e-14 
   60       2.176168352120e-10       2.800379992258e-14      -2.526257396401e-13       0.000000000000e+00       3.568251764327e-11       4.017679627483e-12      -1.060208500740e-14 
   61       2.205556948286e-10       2.943027120248e-14      -2.954457263239e-13       0.000000000000e+00       3.436188255329e-11       3.886079674116e-12      -1.089109509729e-14 
   62       2.235260262425e-10       3.089504639880e-14      -3.401400197490e-13       0.000000000000e+00       3.310143971598e-11       3.760191801455e-12      -1.105383028674e-14 
   63       2.265289563280e-10       3.239729874882e-14      -3.866793737173e-13       0.000000000000e+00       3.190126354182e-11       3.640039820882e-12      -1.110568320092e-14 
   64       2.295648224197e-10       3.393608315029e-14      -4.350286856213e-13       0.000000000000e+00       3.076005150616e-11       3.525511174151e-12      -1.106519235974e-14 
   65       2.326331180084e-10       3.551033265811e-14      -4.851468300118e-13       0.000000000000e+00       2.967504572661e-11       3.416349094925e-12      -1.095418040679e-14 
   66       2.357324384372e-10       3.711885498107e-14      -5.369864921669e-13       0.000000000000e+00       2.864195454054e-11       3.312144770333e-12      -1.079789233838e-14 
   67       2.388604265974e-10       3.876032897854e-14      -5.904940016604e-13       0.000000000000e+00       2.765487408246e-11       3.212329502512e-12      -1.062513373255e-14 
   68       2.420147566541e-10       4.043344990474e-14      -6.456184950213e-13       0.000000000000e+00       2.670786640958e-11       3.116332503701e-12      -1.046224355987e-14 
   69       2.451964380719e-10       4.213740714748e-14      -7.023419316561e-13       0.000000000000e+00       2.580024049967e-11       3.024108931028e-12      -1.031328547139e-14 
   70       2.484070865941e-10       4.387149744317e-14      -7.606548889023e-13       0.000000000000e+00       2.493220535729e-11       2.935705255738e-12      -1.017607262295e-14 
   71       2.516479181902e-10       4.563498498993e-14      -8.205478419415e-13       0.000000000000e+00       2.410327273570e-11       2.851099558680e-12      -1.004795885163e-14 
   72       2.549197213002e-10       4.742710174855e-14      -8.820112359640e-13       0.000000000000e+00       2.331222108126e-11       2.770197928011e-12      -9.925819221337e-15 
   73       2.582228290789e-10       4.924704774353e-14      -9.450355583325e-13       0.000000000000e+00       2.255705947780e-11       2.692830856895e-12      -9.806030568541e-15 
   74       2.615570916398e-10       5.109399136405e-14      -1.009611410746e-12       0.000000000000e+00       2.183499159105e-11       2.618749641198e-12      -9.684452047911e-15 
   75       2.649218482996e-10       5.296706966494e-14      -1.075729581406e-12       0.000000000000e+00       2.114237961297e-11       2.547622777194e-12      -9.556405678008e-15 
   76       2.683163949804e-10       5.486531149428e-14      -1.143375655845e-12       0.000000000000e+00       2.047564792112e-11       2.479118960263e-12      -9.417959151151e-15 
   77       2.717415461743e-10       5.678739002686e-14      -1.212512555350e-12       0.000000000000e+00       1.983426400244e-11       2.413181517400e-12      -9.270087332568e-15 
   78       2.751983087070e-10       5.873182544119e-14      -1.283094930652e-12       0.000000000000e+00       1.921823813502e-11       2.349797706656e-12      -9.115237811819e-15 
   79       2.786873945309e-10       6.069705682877e-14      -1.355074301591e-12       0.000000000000e+00       1.862721538239e-11       2.288914758804e-12      -8.956103093273e-15 
   80       2.822092031221e-10       6.268144091264e-14      -1.428399017295e-12       0.000000000000e+00       1.806045880751e-11       2.230438050867e-12      -8.795627845769e-15 
   81       2.857638038789e-10       6.468325076582e-14      -1.503014216354e-12       0.000000000000e+00       1.751683268681e-11       2.174229279639e-12      -8.637016152271e-15 
   82       2.893509185188e-10       6.670067452982e-14      -1.578861786994e-12       0.000000000000e+00       1.699478572416e-11       2.120104635211e-12      -8.483738759524e-15 
   83       2.929699034769e-10       6.873181413315e-14      -1.655880327252e-12       0.000000000000e+00       1.649233426489e-11       2.067832974486e-12      -8.339540327713e-15 
   84       2.966200831215e-10       7.077476719850e-14      -1.734008566389e-12       0.000000000000e+00       1.600754476853e-11       2.017193541667e-12      -8.207679760700e-15 
   85       3.003018514287e-10       7.282789117283e-14      -1.813196368066e-12       0.000000000000e+00       1.554010989599e-11       1.968164124915e-12      -8.088490617541e-15 
   86       3.040157215183e-10       7.488958083848e-14      -1.893395486721e-12       0.000000000000e+00       1.509000414278e-11       1.920760888350e-12      -7.981427680356e-15 
   87       3.077619795408e-10       7.695818913251e-14      -1.974556286598e-12       0.000000000000e+00       1.465699953985e-11       1.874980784938e-12      -7.885792358503e-15 
   88       3.115406729706e-10       7.903202726335e-14      -2.056627760092e-12       0.000000000000e+00       1.424065725855e-11       1.830800730800e-12      -7.800727048828e-15 
   89       3.153515989005e-10       8.110936482741e-14      -2.139557546094e-12       0.000000000000e+00       1.384031921545e-11       1.788176779529e-12      -7.725209495924e-15 
   90       3.191942923353e-10       8.318842992569e-14      -2.223291948339e-12       0.000000000000e+00       1.345509967736e-11       1.747043296495e-12      -7.658047152385e-15 
   91       3.230680144856e-10       8.526740928043e-14      -2.307775953758e-12       0.000000000000e+00       1.308387686613e-11       1.707312133165e-12      -7.597871539057e-15 
   92       3.269717410616e-10       8.734444835168e-14      -2.392953250817e-12       0.000000000000e+00       1.272528456362e-11       1.668871801409e-12      -7.543132605297e-15 
   93       3.309044838659e-10       8.941767265446e-14      -2.478766006160e-12       0.000000000000e+00       1.237803645753e-11       1.631614998535e-12      -7.492331412183e-15 
   94       3.348663363252e-10       9.148525512409e-14      -2.565154116235e-12       0.000000000000e+00       1.204197321478e-11       1.595527711309e-12      -7.444770463422e-15 
   95       3.388575642946e-10       9.354535914534e-14      -2.652055876509e-12       0.000000000000e+00       1.171715809910e-11       1.560612048930e-12      -7.399906322036e-15 
   96       3.428782797347e-10       9.559611865694e-14      -2.739408227977e-12       0.000000000000e+00       1.140355448560e-11       1.526858655709e-12      -7.357119005961e-15 
   97       3.469284335806e-10       9.763563855913e-14      -2.827146772193e-12       0.000000000000e+00       1.110102203310e-11       1.494246274552e-12      -7.315709619718e-15 
   98       3.510078086110e-10       9.966199512138e-14      -2.915205786298e-12       0.000000000000e+00       1.080931285656e-11       1.462741310437e-12      -7.274897986091e-15 
