# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[2]-dens[2]        4:dens[3]-dens[3]    
   90       8.637331970305e-03       6.509118917530e-03       5.101846720832e-03 
   91       8.737294938178e-03       6.585769490125e-03       5.162374200037e-03 
   92       8.836232360536e-03       6.661983078776e-03       5.222727867520e-03 
   93       8.934053449385e-03       6.737705428639e-03       5.282877726799e-03 
   94       9.030708200141e-03       6.812904353815e-03       5.342804551240e-03 
   95       9.126156368047e-03       6.887552040918e-03       5.402490604020e-03 
   96       9.220356450831e-03       6.961618734421e-03       5.461916304117e-03 
   97       9.313265627163e-03       7.035072654881e-03       5.521060148456e-03 
   98       9.404839695117e-03       7.107879917166e-03       5.579898634051e-03 
   99       9.495033010625e-03       7.180004448682e-03       5.638406180157e-03 
  100       9.583798425937e-03       7.251407907596e-03       5.696555050411e-03 
  101       9.671087228081e-03       7.322049601067e-03       5.754315274977e-03 
  102       9.756849077316e-03       7.391886403467e-03       5.811654572695e-03 
  103       9.841031945597e-03       7.460872674607e-03       5.868538273224e-03 
  104       9.923590753384e-03       7.528966385836e-03       5.924933660430e-03 
  105       1.000451474139e-02       7.596148616917e-03       5.980823838445e-03 
  106       1.008380369884e-02       7.662406552704e-03       6.036195602288e-03 
  107       1.016145962894e-02       7.727727497071e-03       6.091035154972e-03 
  108       1.023748678290e-02       7.792098859354e-03       6.145328078233e-03 
  109       1.031189169401e-02       7.855508140802e-03       6.199059303266e-03 
  110       1.038468321163e-02       7.917942921011e-03       6.252213081447e-03 
  111       1.045587253532e-02       7.979390844379e-03       6.304772955073e-03 
  112       1.052547324880e-02       8.039839606543e-03       6.356721728086e-03 
  113       1.059350135405e-02       8.099276940826e-03       6.408041436806e-03 
  114       1.065997530531e-02       8.157690604682e-03       6.458713320662e-03 
  115       1.072491604317e-02       8.215068366139e-03       6.508717792922e-03 
  116       1.078834788776e-02       8.271401139936e-03       6.558037441939e-03 
  117       1.085030126888e-02       8.326692857489e-03       6.606666511429e-03 
  118       1.091081039327e-02       8.380951777056e-03       6.654602523217e-03 
  119       1.096991245633e-02       8.434187455556e-03       6.701843347408e-03 
  120       1.102764768379e-02       8.486410762863e-03       6.748387199916e-03 
  121       1.108405937330e-02       8.537633896099e-03       6.794232639985e-03 
  122       1.113919393611e-02       8.587870393925e-03       6.839378567718e-03 
  123       1.119310093871e-02       8.637135150835e-03       6.883824221602e-03 
  124       1.124583314445e-02       8.685444431451e-03       6.927569176033e-03 
  125       1.129744655519e-02       8.732815884813e-03       6.970613338840e-03 
  126       1.134800045296e-02       8.779268558674e-03       7.012956948814e-03 
  127       1.139755744155e-02       8.824822913792e-03       7.054600573234e-03 
  128       1.144618348822e-02       8.869500838226e-03       7.095545105387e-03 
  129       1.149394248513e-02       8.913324915841e-03       7.135792865363e-03 
  130       1.154087917081e-02       8.956316110759e-03       7.175351044201e-03 
  131       1.158703440512e-02       8.998495854721e-03       7.214228634655e-03 
  132       1.163245048393e-02       9.039886778965e-03       7.252435367157e-03 
  133       1.167717114147e-02       9.080512723187e-03       7.289981715244e-03 
  134       1.172124155280e-02       9.120398744495e-03       7.326878900978e-03 
  135       1.176470833626e-02       9.159571126364e-03       7.363138900364e-03 
  136       1.180761955583e-02       9.198057387597e-03       7.398774448768e-03 
  137       1.185002472364e-02       9.235886291277e-03       7.433799046343e-03 
  138       1.189197480231e-02       9.273087853726e-03       7.468226963446e-03 
  139       1.193352220744e-02       9.309693353459e-03       7.502073246058e-03 
  140       1.197472081003e-02       9.345735340145e-03       7.535353721202e-03 
  141       1.201562593888e-02       9.381247643560e-03       7.568085002370e-03 
  142       1.205629438302e-02       9.416265382543e-03       7.600284494937e-03 
  143       1.209678439418e-02       9.450824973955e-03       7.631970401581e-03 
  144       1.213714917505e-02       9.484960976138e-03       7.663160686081e-03 
  145       1.217741661561e-02       9.518696249656e-03       7.693869838106e-03 
  146       1.221760755440e-02       9.552050839044e-03       7.724111798294e-03 
  147       1.225774207858e-02       9.585045042051e-03       7.753900970677e-03 
  148       1.229783948886e-02       9.617699400399e-03       7.783252222120e-03 
  149       1.233791826454e-02       9.650034690551e-03       7.812180881746e-03 
  150       1.237799602849e-02       9.682071914474e-03       7.840702740378e-03 
  151       1.241808951212e-02       9.713832290401e-03       7.868834049969e-03 
  152       1.245821452040e-02       9.745337243598e-03       7.896591523036e-03 
  153       1.249838589680e-02       9.776608397127e-03       7.923992332095e-03 
  154       1.253861748834e-02       9.807667562609e-03       7.951054109093e-03 
  155       1.257892211055e-02       9.838536730988e-03       7.977794944845e-03 
  156       1.261931151246e-02       9.869238063296e-03       8.004233388462e-03 
  157       1.265979634157e-02       9.899793881417e-03       8.030388446793e-03 
  158       1.270038610889e-02       9.930226658851e-03       8.056279583851e-03 
  159       1.274108915388e-02       9.960559011477e-03       8.081926720252e-03 
  160       1.278191260947e-02       9.990813688316e-03       8.107350232647e-03 
  161       1.282286145800e-02       1.002101120306e-02       8.132569157706e-03 
  162       1.286393567878e-02       1.005116251266e-02       8.157595626777e-03 
  163       1.290513278021e-02       1.008127567061e-02       8.182439935701e-03 
  164       1.294644864722e-02       1.011135810803e-02       8.207112287230e-03 
  165       1.298787750210e-02       1.014141661360e-02       8.231622782209e-03 
  166       1.302941186531e-02       1.017145731341e-02       8.255981410744e-03 
  167       1.307104251626e-02       1.020148565094e-02       8.280198043379e-03 
  168       1.311275845416e-02       1.023150636691e-02       8.304282422265e-03 
  169       1.315454685879e-02       1.026152347923e-02       8.328244152336e-03 
  170       1.319639305133e-02       1.029154026289e-02       8.352092692482e-03 
  171       1.323828045515e-02       1.032155922987e-02       8.375837346722e-03 
  172       1.328019055663e-02       1.035158210905e-02       8.399487255374e-03 
  173       1.332210286596e-02       1.038160982615e-02       8.423051386236e-03 
  174       1.336399487795e-02       1.041164248356e-02       8.446538525749e-03 
  175       1.340584203285e-02       1.044167934035e-02       8.469957270178e-03 
  176       1.344761767713e-02       1.047171879212e-02       8.493316016784e-03 
  177       1.348929302432e-02       1.050175835089e-02       8.516622954994e-03 
  178       1.353083711577e-02       1.053179462507e-02       8.539886057574e-03 
  179       1.357221678151e-02       1.056182329934e-02       8.563113071809e-03 
