# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[2]-dens[2]    
  128       1.190941586329e-02       7.923687007296e-03 
  129       1.195879730457e-02       8.000778561598e-03 
  130       1.200735001772e-02       8.078065318886e-03 
  131       1.205511523259e-02       8.155518443000e-03 
  132       1.210213552434e-02       8.233106911559e-03 
  133       1.214845481273e-02       8.310797465421e-03 
  134       1.219411836129e-02       8.388554558155e-03 
  135       1.223917277656e-02       8.466340305502e-03 
  136       1.228366600730e-02       8.544114434843e-03 
  137       1.232764734374e-02       8.621834234664e-03 
  138       1.237116741679e-02       8.699454504023e-03 
  139       1.241427819722e-02       8.776927502013e-03 
  140       1.245703299496e-02       8.854202897232e-03 
  141       1.249948645824e-02       8.931227717246e-03 
  142       1.254169457287e-02       9.007946298053e-03 
  143       1.258371466144e-02       9.084300233554e-03 
  144       1.262559907815e-02       9.160233754586e-03 
  145       1.266737559445e-02       9.235710570396e-03 
  146       1.270906506920e-02       9.310698599178e-03 
  147       1.275068754276e-02       9.385164668432e-03 
  148       1.279226219994e-02       9.459074495638e-03 
  149       1.283380733303e-02       9.532392668919e-03 
  150       1.287534030476e-02       9.605082627720e-03 
  151       1.291687751130e-02       9.677106643471e-03 
  152       1.295843434526e-02       9.748425800261e-03 
  153       1.300002515864e-02       9.818999975509e-03 
  154       1.304166322588e-02       9.888787820629e-03 
  155       1.308336070680e-02       9.957746741706e-03 
  156       1.312512860960e-02       1.002583288016e-02 
  157       1.316697675388e-02       1.009300109344e-02 
  158       1.320891373356e-02       1.015920493564e-02 
  159       1.325094687997e-02       1.022439663822e-02 
  160       1.329308222474e-02       1.028852709068e-02 
  161       1.333532380515e-02       1.035155251331e-02 
  162       1.337767158860e-02       1.041345517941e-02 
  163       1.342012329301e-02       1.047422449718e-02 
  164       1.346267498827e-02       1.053385049381e-02 
  165       1.350532105621e-02       1.059232382692e-02 
  166       1.354805415057e-02       1.064963579605e-02 
  167       1.359086515694e-02       1.070577835408e-02 
  168       1.363374315277e-02       1.076074411869e-02 
  169       1.367667536727e-02       1.081452638389e-02 
  170       1.371964714145e-02       1.086711913137e-02 
  171       1.376264188801e-02       1.091851704205e-02 
  172       1.380564105133e-02       1.096871550750e-02 
  173       1.384862406747e-02       1.101771064141e-02 
  174       1.389156832406e-02       1.106549929104e-02 
  175       1.393444912035e-02       1.111207904870e-02 
  176       1.397723962709e-02       1.115744826317e-02 
  177       1.401991084654e-02       1.120160605122e-02 
  178       1.406243157245e-02       1.124455230902e-02 
  179       1.410476834995e-02       1.128628772362e-02 
  180       1.414689085765e-02       1.132681623821e-02 
  181       1.418878861560e-02       1.136615264317e-02 
  182       1.423045553160e-02       1.140431561184e-02 
  183       1.427188457857e-02       1.144132532127e-02 
  184       1.431306777448e-02       1.147720347273e-02 
  185       1.435399616227e-02       1.151197331222e-02 
  186       1.439465978982e-02       1.154565965093e-02 
  187       1.443504768985e-02       1.157828888579e-02 
  188       1.447514785986e-02       1.160988901991e-02 
  189       1.451494724210e-02       1.164048968313e-02 
  190       1.455443170345e-02       1.167012215249e-02 
  191       1.459358601539e-02       1.169881937273e-02 
  192       1.463239383391e-02       1.172661597679e-02 
  193       1.467083767948e-02       1.175354830631e-02 
  194       1.470889891694e-02       1.177965443214e-02 
  195       1.474655773546e-02       1.180497417481e-02 
