# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:z=0.5                    3:z=1    
  129       2.018994169259e-02       1.313481990229e-02 
  130       2.026008746829e-02       1.326377471865e-02 
  131       2.032835574623e-02       1.339298353206e-02 
  132       2.039486696130e-02       1.352239790701e-02 
  133       2.045974739696e-02       1.365196601545e-02 
  134       2.052312925363e-02       1.378163256013e-02 
  135       2.058515071701e-02       1.391133869800e-02 
  136       2.064595602646e-02       1.404102196357e-02 
  137       2.070569554333e-02       1.417061619228e-02 
  138       2.076452581934e-02       1.430005144392e-02 
  139       2.082260966490e-02       1.442925392592e-02 
  140       2.088011621750e-02       1.455814591680e-02 
  141       2.093722101002e-02       1.468664568950e-02 
  142       2.099410603913e-02       1.481466743479e-02 
  143       2.105095983361e-02       1.494212118460e-02 
  144       2.110795561257e-02       1.506891887152e-02 
  145       2.116518318891e-02       1.519499334216e-02 
  146       2.122271045109e-02       1.532028108130e-02 
  147       2.128060461347e-02       1.544471620316e-02 
  148       2.133893215868e-02       1.556823040996e-02 
  149       2.139775878011e-02       1.569075295065e-02 
  150       2.145714932429e-02       1.581221057949e-02 
  151       2.151716773334e-02       1.593252751472e-02 
  152       2.157787698744e-02       1.605162539716e-02 
  153       2.163933904719e-02       1.616942324890e-02 
  154       2.170161479611e-02       1.628583743191e-02 
  155       2.176476398305e-02       1.640078160668e-02 
  156       2.182884516461e-02       1.651416669084e-02 
  157       2.189391564758e-02       1.662590081786e-02 
  158       2.196003143138e-02       1.673588929562e-02 
  159       2.202724715050e-02       1.684403456509e-02 
  160       2.209561601692e-02       1.695023615896e-02 
  161       2.216517781977e-02       1.705440478704e-02 
  162       2.223592185272e-02       1.715650607913e-02 
  163       2.230782058288e-02       1.725652064943e-02 
  164       2.238084118710e-02       1.735443034111e-02 
  165       2.245494543943e-02       1.745021824995e-02 
  166       2.253008959864e-02       1.754386874797e-02 
  167       2.260622429566e-02       1.763536750707e-02 
  168       2.268329442110e-02       1.772470152267e-02 
  169       2.276123901273e-02       1.781185913733e-02 
  170       2.283999114297e-02       1.789683006441e-02 
  171       2.291947780635e-02       1.797960541166e-02 
  172       2.299961980703e-02       1.806017770490e-02 
  173       2.308033164626e-02       1.813854091163e-02 
  174       2.316152140987e-02       1.821469046468e-02 
  175       2.324309065579e-02       1.828862328582e-02 
  176       2.332493430149e-02       1.836033780941e-02 
  177       2.340694051147e-02       1.842983400605e-02 
  178       2.348899058478e-02       1.849711340618e-02 
  179       2.357095884249e-02       1.856217912374e-02 
  180       2.365272887777e-02       1.862504048487e-02 
  181       2.373424398578e-02       1.868572727599e-02 
  182       2.381546053562e-02       1.874427667632e-02 
  183       2.389633191611e-02       1.880072879487e-02 
  184       2.397680848354e-02       1.885512671102e-02 
  185       2.405683750937e-02       1.890751651513e-02 
  186       2.413636312804e-02       1.895794734917e-02 
  187       2.421532628472e-02       1.900647144726e-02 
  188       2.429366468303e-02       1.905314417629e-02 
  189       2.437131273281e-02       1.909802407654e-02 
  190       2.444820149788e-02       1.914117290223e-02 
  191       2.452425864380e-02       1.918265566214e-02 
  192       2.459940838558e-02       1.922254066023e-02 
  193       2.467357143550e-02       1.926089953618e-02 
  194       2.474666495080e-02       1.929780730605e-02 
  195       2.481860248149e-02       1.933334240281e-02 
  196       2.488929391805e-02       1.936758671700e-02 
  197       2.495864543923e-02       1.940062563726e-02 
  198       2.502655945976e-02       1.943254809100e-02 
  199       2.509293457814e-02       1.946344658494e-02 
  200       2.515766552438e-02       1.949341724571e-02 
  201       2.522066319517e-02       1.952255177151e-02 
  202       2.528191646300e-02       1.955091256187e-02 
  203       2.534143468651e-02       1.957855588760e-02 
  204       2.539922802696e-02       1.960553983662e-02 
  205       2.545530745542e-02       1.963192433072e-02 
