# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   39       1.621158477019e-10       6.976268074306e-15       2.468320913439e-13       0.000000000000e+00       9.524189578420e-11       1.021646102552e-11      -1.154171827801e-14 
   40       1.645046236894e-10       7.586006477204e-15       2.382561861481e-13       0.000000000000e+00       9.046338871569e-11       9.751315809988e-12      -8.351246195686e-15 
   41       1.668978696042e-10       8.234293974831e-15       2.286722628667e-13       0.000000000000e+00       8.598777920053e-11       9.311592906360e-12      -6.389561212238e-15 
   42       1.693007833379e-10       8.921239585147e-15       2.180548512751e-13       0.000000000000e+00       8.180192037598e-11       8.896431759734e-12      -5.644107957982e-15 
   43       1.717225131169e-10       9.646379550269e-15       2.062926248862e-13       0.000000000000e+00       7.789473293496e-11       8.506510836373e-12      -5.882707560483e-15 
   44       1.741701543090e-10       1.040892638757e-14       1.932520678964e-13       0.000000000000e+00       7.423783279724e-11       8.141180050714e-12      -6.802859594814e-15 
   45       1.766484087667e-10       1.120805239089e-14       1.787876115137e-13       0.000000000000e+00       7.079567616693e-11       7.798904464395e-12      -8.072933902992e-15 
   46       1.791590526639e-10       1.204388707534e-14       1.627793043491e-13       0.000000000000e+00       6.756285818013e-11       7.479022673159e-12      -9.481082707024e-15 
   47       1.817008683331e-10       1.291678481703e-14       1.451037708669e-13       0.000000000000e+00       6.453562145550e-11       7.180319852776e-12      -1.082315855691e-14 
   48       1.842694545057e-10       1.382704580890e-14       1.256226524957e-13       0.000000000000e+00       6.170060572657e-11       6.900435561669e-12      -1.185902892121e-14 
   49       1.868569622430e-10       1.477491404310e-14       1.041817325897e-13       0.000000000000e+00       5.903413369083e-11       6.635781672630e-12      -1.231068872577e-14 
   50       1.894553091801e-10       1.576058619300e-14       8.065349553795e-14       0.000000000000e+00       5.650934389259e-11       6.382582654038e-12      -1.195046195482e-14 
   51       1.920674634545e-10       1.678424578256e-14       5.508045309613e-14       0.000000000000e+00       5.412152872464e-11       6.140519701902e-12      -1.089820987654e-14 
   52       1.946987662130e-10       1.784603480424e-14       2.756920980885e-14       0.000000000000e+00       5.186843968697e-11       5.909933906214e-12      -9.401534038252e-15 
   53       1.973536229963e-10       1.894604216088e-14      -1.748429683368e-15       0.000000000000e+00       4.974270477321e-11       5.690761796759e-12      -7.755034378814e-15 
