# Matter power spectrum P(k) at redshift z=0
# for k=1.04545e-05 to 1.69273 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.349120729937e-02       2.446844984916e+04 
       1.362014664429e-02       2.451351373786e+04 
       1.374912229819e-02       2.455644420065e+04 
       1.387813437349e-02       2.459734320091e+04 
       1.400718300567e-02       2.463597111636e+04 
       1.413626835288e-02       2.467269118973e+04 
       1.426539059562e-02       2.470723551514e+04 
       1.439454993645e-02       2.473980921615e+04 
       1.452374659967e-02       2.477042725902e+04 
       1.465298083115e-02       2.479909343347e+04 
       1.478225289806e-02       2.482499025673e+04 
       1.491156308874e-02       2.485054337931e+04 
       1.504091171251e-02       2.487344235435e+04 
       1.517029909956e-02       2.489364020659e+04 
       1.529972560087e-02       2.491364595123e+04 
       1.542919158806e-02       2.493021453162e+04 
       1.555869745342e-02       2.494658779908e+04 
       1.568824360984e-02       2.496026651355e+04 
       1.581783049077e-02       2.497229697900e+04 
       1.594745855030e-02       2.498257267602e+04 
       1.607712826311e-02       2.499126925234e+04 
       1.620684012460e-02       2.499817295121e+04 
       1.633659465090e-02       2.500331771531e+04 
       1.646639237898e-02       2.500691395759e+04 
       1.659623386677e-02       2.500900619057e+04 
       1.672611969327e-02       2.500841525585e+04 
       1.685605045871e-02       2.500816392460e+04 
       1.698602678468e-02       2.500547042995e+04 
       1.711604931433e-02       2.500109708159e+04 
       1.724611871260e-02       2.499539349088e+04 
       1.737623566636e-02       2.498817336664e+04 
       1.750640088470e-02       2.497938962740e+04 
       1.763661509915e-02       2.496920192824e+04 
       1.776687906395e-02       2.495666139758e+04 
       1.789719355633e-02       2.494365328975e+04 
       1.802755937680e-02       2.493023844954e+04 
       1.815797734948e-02       2.491454298918e+04 
       1.828844832242e-02       2.489669740910e+04 
       1.841897316792e-02       2.487904850618e+04 
       1.854955278296e-02       2.485936461708e+04 
       1.868018808951e-02       2.483824491594e+04 
       1.881088003498e-02       2.481536298400e+04 
       1.894162959258e-02       2.479238524908e+04 
       1.907243776181e-02       2.476769425488e+04 
       1.920330556887e-02       2.474185179103e+04 
       1.933423406715e-02       2.471460139308e+04 
       1.946522433770e-02       2.468628150190e+04 
       1.959627748973e-02       2.465693705223e+04 
       1.972739466115e-02       2.462570039254e+04 
       1.985857701911e-02       2.459350253256e+04 
       1.998982576053e-02       2.456086857219e+04 
       2.012114211272e-02       2.452697410030e+04 
       2.025252733395e-02       2.449190927300e+04 
       2.038398271408e-02       2.445687177529e+04 
       2.051550957522e-02       2.441907255806e+04 
       2.064710927236e-02       2.438187031948e+04 
       2.077878319408e-02       2.434207142239e+04 
       2.091053276322e-02       2.430223804647e+04 
       2.104235943768e-02       2.426112550299e+04 
       2.117426471110e-02       2.421929948824e+04 
       2.130625011367e-02       2.417734203213e+04 
       2.143831721294e-02       2.413371834940e+04 
       2.157046761462e-02       2.408864469842e+04 
       2.170270296346e-02       2.404360650317e+04 
       2.183502494413e-02       2.399732898488e+04 
