# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.642106667559e-10       7.698325236162e-15       2.361261911983e-13       6.525817853800e-17       8.555920349742e-11       8.877050440770e-12      -8.041389369218e-15 
   41       1.666722831419e-10       8.360745198218e-15       2.268165421263e-13       6.856679262237e-17       8.133381679148e-11       8.470880111963e-12      -7.285986830419e-15 
   42       1.691568873666e-10       9.058956554408e-15       2.159932751625e-13       7.195879625409e-17       7.738173478915e-11       8.089819720286e-12      -6.779573483510e-15 
   43       1.716640560842e-10       9.793426287625e-15       2.036942591217e-13       7.543423849422e-17       7.369247140396e-11       7.733509015263e-12      -6.528228761431e-15 
   44       1.741893673686e-10       1.056454173296e-14       1.899729433487e-13       7.899316091264e-17       7.023919707645e-11       7.400133939588e-12      -6.532894742087e-15 
   45       1.767273636494e-10       1.137265899864e-14       1.748734233421e-13       8.263559226854e-17       6.698833068725e-11       7.087127666768e-12      -6.779859922724e-15 
   46       1.792823703068e-10       1.221827550887e-14       1.583449166941e-13       8.636153108264e-17       6.393480114875e-11       6.793803998042e-12      -7.209827697018e-15 
   47       1.818602808891e-10       1.310190181318e-14       1.403030410254e-13       9.017095754628e-17       6.107511425074e-11       6.519308869953e-12      -7.738871690692e-15 
   48       1.844653302550e-10       1.402401220656e-14       1.206526207015e-13       9.406383774254e-17       5.839671838305e-11       6.261798807032e-12      -8.265793525277e-15 
   49       1.870999158911e-10       1.498504351176e-14       9.928698336015e-14       9.804012316893e-17       5.587733068317e-11       6.018369174250e-12      -8.671170954611e-15 
   50       1.897648677021e-10       1.598534984250e-14       7.611006921909e-14       1.020997503469e-16       5.349165826891e-11       5.785920195359e-12      -8.852009019199e-15 
   51       1.924607582555e-10       1.702505524243e-14       5.111146603641e-14       1.062426406326e-16       5.123527606869e-11       5.564198588095e-12      -8.838990201981e-15 
   52       1.951866393250e-10       1.810415894182e-14       2.431052554618e-14       1.104686995297e-16       4.910606556313e-11       5.353457526441e-12      -8.709405147539e-15 
   53       1.979394706622e-10       1.922257266955e-14      -4.264307907511e-15       1.147778161363e-16       4.709706805809e-11       5.153564072129e-12      -8.555037686506e-15 
   54       2.007139624198e-10       2.038011736392e-14      -3.457512730067e-14       1.191698626721e-16       4.519615883620e-11       4.963971557251e-12      -8.482888408201e-15 
   55       2.035047711044e-10       2.157659751306e-14      -6.658822319255e-14       1.236447049968e-16       4.338974965478e-11       4.783943827277e-12      -8.587589417536e-15 
   56       2.063140872561e-10       2.281205333746e-14      -1.003198862057e-13       1.282022383114e-16       4.167571981877e-11       4.613356473336e-12      -8.858966168603e-15 
   57       2.091456567019e-10       2.408656549374e-14      -1.358013346591e-13       1.328423594976e-16       4.005312671482e-11       4.452046269218e-12      -9.252779400381e-15 
   58       2.120025277235e-10       2.540018267503e-14      -1.730658538577e-13       1.375649568581e-16       3.851829368829e-11       4.299559332820e-12      -9.716650908319e-15 
   59       2.148869851761e-10       2.675292134628e-14      -2.121489726588e-13       1.423699100726e-16       3.706464114339e-11       4.155133321510e-12      -1.018968417610e-14 
   60       2.178004846062e-10       2.814476547967e-14      -2.530886400391e-13       1.472570901519e-16       3.568251764327e-11       4.017679627483e-12      -1.060208500740e-14 
   61       2.207439508804e-10       2.957556425979e-14      -2.959145922058e-13       1.522263780774e-16       3.436188255329e-11       3.886079674116e-12      -1.089109509729e-14 
   62       2.237189014428e-10       3.104469896665e-14      -3.406132655299e-13       1.572777257057e-16       3.310143971598e-11       3.760191801455e-12      -1.105383028674e-14 
   63       2.267264594236e-10       3.255134051110e-14      -3.871552854226e-13       1.624111085172e-16       3.190126354182e-11       3.640039820882e-12      -1.110568320092e-14 
   64       2.297669581374e-10       3.409454143434e-14      -4.355054177136e-13       1.676265086756e-16       3.076005150616e-11       3.525511174151e-12      -1.106519235974e-14 
   65       2.328398867664e-10       3.567323240591e-14      -4.856224022415e-13       1.729239155765e-16       2.967504572661e-11       3.416349094925e-12      -1.095418040679e-14 
   66       2.359438360452e-10       3.728621872173e-14      -5.374587864447e-13       1.783033263947e-16       2.864195454054e-11       3.312144770333e-12      -1.079789233838e-14 
   67       2.390764439440e-10       3.893217680213e-14      -5.909607589521e-13       1.837647466326e-16       2.765487408246e-11       3.212329502512e-12      -1.062513373255e-14 
   68       2.422353795101e-10       4.060979957264e-14      -6.460773124867e-13       1.893081973432e-16       2.670786640958e-11       3.116332503701e-12      -1.046224355987e-14 
   69       2.454216472977e-10       4.231827464184e-14      -7.027902605275e-13       1.949337372746e-16       2.580024049967e-11       3.024108931028e-12      -1.031328547139e-14 
   70       2.486368580029e-10       4.405689716901e-14      -7.610900318139e-13       2.006414462178e-16       2.493220535729e-11       2.935705255738e-12      -1.017607262295e-14 
   71       2.518822222825e-10       4.582492985447e-14      -8.209669500778e-13       2.064314194338e-16       2.410327273570e-11       2.851099558680e-12      -1.004795885163e-14 
   72       2.551585229889e-10       4.762160324537e-14      -8.824113062360e-13       2.123037683723e-16       2.331222108126e-11       2.770197928011e-12      -9.925819221337e-15 
