# dimensionless total [l(l+1)/2pi] C_l's
# for l=1 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[2]-dens[2]        4:dens[3]-dens[3]    
    1       1.752708396620e-06       6.496976389735e-07       4.299627151300e-07 
    2       5.925245142782e-06       1.951258151264e-06       1.258918473464e-06 
    3       1.333603694956e-05       4.001743248515e-06       2.500480091512e-06 
    4       2.471597169134e-05       6.926761592937e-06       4.179841957106e-06 
    5       4.064298917075e-05       1.086088276058e-05       6.332182638163e-06 
    6       6.154197797558e-05       1.593492371296e-05       8.998173441316e-06 
    7       8.770062399495e-05       2.226958987972e-05       1.222077959516e-05 
    8       1.192881782369e-04       2.997253943623e-05       1.604305847975e-05 
    9       1.563730402284e-04       3.913728907305e-05       2.050667972237e-05 
   10       1.989383317447e-04       4.984314166721e-05       2.565096359242e-05 
   11       2.468955383703e-04       6.215564285120e-05       3.151226268057e-05 
   12       3.000965410536e-04       7.612728326461e-05       3.812359787570e-05 
   13       3.583442885974e-04       9.179834759857e-05       4.551450198123e-05 
   14       4.214022488103e-04       1.091977898010e-04       5.371096883765e-05 
   15       4.890027246275e-04       1.283439810374e-04       6.273545611861e-05 
   16       5.608541700781e-04       1.492453587914e-04       7.260697723763e-05 
   17       6.366476563285e-04       1.719011267531e-04       8.334124501079e-05 
   18       7.160631521476e-04       1.963019303630e-04       9.495069578196e-05 
   19       7.987720701068e-04       2.224312703545e-04       1.074449438740e-04 
   20       8.844474024722e-04       2.502649431404e-04       1.208300735819e-04 
   21       9.727605739832e-04       2.797729610119e-04       1.351097780869e-04 
   22       1.063391922203e-03       3.109191760960e-04       1.502847347861e-04 
   23       1.156026886448e-03       3.436622717977e-04       1.663534871016e-04 
   24       1.250365841660e-03       3.779558272573e-04       1.833119404637e-04 
   25       1.346117903539e-03       4.137491921955e-04       2.011541066168e-04 
   26       1.443011457025e-03       4.509876818084e-04       2.198716675463e-04 
   27       1.540788599059e-03       4.896132278436e-04       2.394544517467e-04 
   28       1.639212820332e-03       5.295647028776e-04       2.598902425630e-04 
   29       1.738055625643e-03       5.707784381009e-04       2.811654518123e-04 
   30       1.837113988813e-03       6.131886442350e-04       3.032646603644e-04 
   31       1.936212143218e-03       6.567277874864e-04       3.261706553882e-04 
   32       2.035177718760e-03       7.013267813225e-04       3.498651916956e-04 
   33       2.133862589036e-03       7.469156468797e-04       3.743286103584e-04 
   34       2.232145715589e-03       7.934238864113e-04       3.995398538999e-04 
   35       2.329910021760e-03       8.407803417622e-04       4.254769882368e-04 
   36       2.427062155723e-03       8.889140528176e-04       4.521169844438e-04 
   37       2.523533486873e-03       9.377545367067e-04       4.794357851144e-04 
   38       2.619253699843e-03       9.872310834469e-04       5.074087480924e-04 
   39       2.714172148593e-03       1.037273963904e-03       5.360104873765e-04 
   40       2.808267400042e-03       1.087815164861e-03       5.652148630954e-04 
   41       2.901535889411e-03       1.138788310211e-03       5.949951217692e-04 
   42       2.993948795250e-03       1.190127363431e-03       6.253241667256e-04 
   43       3.085484381125e-03       1.241768224073e-03       6.561745194441e-04 
   44       3.176141065275e-03       1.293649585204e-03       6.875183598266e-04 
   45       3.265939923913e-03       1.345712575725e-03       7.193276162267e-04 
   46       3.354930677590e-03       1.397898628442e-03       7.515740564813e-04 
   47       3.443189238492e-03       1.450151646935e-03       7.842293765106e-04 
   48       3.530817469294e-03       1.502419045882e-03       8.172652895557e-04 
   49       3.617944293530e-03       1.554652102923e-03       8.506536158055e-04 
   50       3.704690699199e-03       1.606805255894e-03       8.843663100506e-04 
   51       3.791050974715e-03       1.658832953277e-03       9.183753455617e-04 
   52       3.876981155130e-03       1.710692557066e-03       9.526529536171e-04 
   53       3.962431736527e-03       1.762345617768e-03       9.871717673735e-04 
   54       4.047347087239e-03       1.813758176634e-03       1.021904908577e-03 
   55       4.131687363404e-03       1.864899664379e-03       1.056825932574e-03 
   56       4.215501979873e-03       1.915738584534e-03       1.091908448711e-03 
   57       4.298873359760e-03       1.966246287142e-03       1.127126557511e-03 
   58       4.381896310972e-03       2.016398520504e-03       1.162455063536e-03 
   59       4.464678314215e-03       2.066175678733e-03       1.197869556578e-03 
   60       4.547339811017e-03       2.115563049316e-03       1.233346492847e-03 
   61       4.629993925971e-03       2.164549039886e-03       1.268863045721e-03 
   62       4.712679663155e-03       2.213118833382e-03       1.304396435184e-03 
   63       4.795414157782e-03       2.261259741540e-03       1.339924591262e-03 
   64       4.878211561489e-03       2.308963279805e-03       1.375426443593e-03 
   65       4.961082677820e-03       2.356225350775e-03       1.410881995309e-03 
   66       5.044034597699e-03       2.403046427636e-03       1.446272396907e-03 
   67       5.127070334914e-03       2.449431737608e-03       1.481580020136e-03 
   68       5.210191134170e-03       2.495388900576e-03       1.516788100913e-03 
   69       5.293404753157e-03       2.540919879347e-03       1.551879418939e-03 
   70       5.376718211516e-03       2.586027720350e-03       1.586837482027e-03 
   71       5.460134975882e-03       2.630719070352e-03       1.621646995116e-03 
   72       5.543654663715e-03       2.675004294814e-03       1.656293923131e-03 
   73       5.627272747128e-03       2.718897596247e-03       1.690765553831e-03 
   74       5.710980256722e-03       2.762417132567e-03       1.725050560673e-03 
   75       5.794763485413e-03       2.805585135448e-03       1.759139065666e-03 
   76       5.878605056094e-03       2.848424813602e-03       1.793022103984e-03 
   77       5.962488004087e-03       2.890950149048e-03       1.826689766163e-03 
   78       6.046391904521e-03       2.933174446522e-03       1.860132829746e-03 
   79       6.130291310687e-03       2.975113435068e-03       1.893343377247e-03 
   80       6.214155485828e-03       3.016785320464e-03       1.926314846731e-03 
   81       6.297948134942e-03       3.058210837649e-03       1.959042082410e-03 
   82       6.381627136575e-03       3.099413303149e-03       1.991521385230e-03 
   83       6.465144274617e-03       3.140418667506e-03       2.023750563458e-03 
   84       6.548450480432e-03       3.181254377555e-03       2.055728231826e-03 
   85       6.631513145218e-03       3.221945631701e-03       2.087451464657e-03 
   86       6.714301199271e-03       3.262518597083e-03       2.118917844618e-03 
   87       6.796779683839e-03       3.303001576473e-03       2.150126216976e-03 
   88       6.878909575520e-03       3.343425040707e-03       2.181076727558e-03 
   89       6.960647610678e-03       3.383821661101e-03       2.211770860711e-03 
   90       7.041946109843e-03       3.424226341885e-03       2.242211477258e-03 
   91       7.122752802125e-03       3.464676252620e-03       2.272402852463e-03 
   92       7.203010649616e-03       3.505210860628e-03       2.302350713986e-03 
   93       7.282664540816e-03       3.545866257568e-03       2.332061220887e-03 
   94       7.361682903847e-03       3.586657092669e-03       2.361537642525e-03 
   95       7.440039034341e-03       3.627591969562e-03       2.390783248021e-03 
   96       7.517704435846e-03       3.668678864730e-03       2.419802343826e-03 
   97       7.594648738525e-03       3.709925081610e-03       2.448600297140e-03 
   98       7.670839617855e-03       3.751337204696e-03       2.477183559335e-03 
   99       7.746242713323e-03       3.792921053638e-03       2.505559689382e-03 
  100       7.820821547122e-03       3.834681637347e-03       2.533737377271e-03 
  101       7.894537442851e-03       3.876623108093e-03       2.561726467437e-03 
  102       7.967349444210e-03       3.918748715609e-03       2.589537982181e-03 
  103       8.039214233697e-03       3.961060761191e-03       2.617184145095e-03 
  104       8.110092332410e-03       4.003562479058e-03       2.644677181308e-03 
  105       8.179967828358e-03       4.046264068722e-03       2.672025483186e-03 
  106       8.248831173991e-03       4.089177395726e-03       2.699236967929e-03 
  107       8.316673130949e-03       4.132314112738e-03       2.726320264359e-03 
  108       8.383484757781e-03       4.175685634830e-03       2.753284722903e-03 
  109       8.449257397669e-03       4.219303114755e-03       2.780140425573e-03 
  110       8.513982666144e-03       4.263177418231e-03       2.806898195951e-03 
  111       8.577652438808e-03       4.307319099222e-03       2.833569609167e-03 
  112       8.640258839056e-03       4.351738375214e-03       2.860167001883e-03 
  113       8.701794225796e-03       4.396445102498e-03       2.886703482274e-03 
  114       8.762251181167e-03       4.441448751450e-03       2.913192940013e-03 
  115       8.821622498261e-03       4.486758381810e-03       2.939650056249e-03 
  116       8.879903925943e-03       4.532380325675e-03       2.966089033631e-03 
  117       8.937102808155e-03       4.578310969732e-03       2.992519589873e-03 
  118       8.993230476821e-03       4.624543044974e-03       3.018950493558e-03 
  119       9.048299600692e-03       4.671067795972e-03       3.045390799194e-03 
  120       9.102324197452e-03       4.717874935885e-03       3.071849845877e-03 
  121       9.155319645812e-03       4.764952601476e-03       3.098337255956e-03 
  122       9.207302697607e-03       4.812287308123e-03       3.124862933697e-03 
  123       9.258291489895e-03       4.859863904828e-03       3.151437063951e-03 
  124       9.308305557058e-03       4.907665529237e-03       3.178070110816e-03 
  125       9.357365842893e-03       4.955673562644e-03       3.204772816303e-03 
  126       9.405494712718e-03       5.003867585009e-03       3.231556199000e-03 
  127       9.452715965462e-03       5.052225329969e-03       3.258431552737e-03 
  128       9.499054845771e-03       5.100722639847e-03       3.285410445254e-03 
  129       9.544537052291e-03       5.149335624225e-03       3.312504062386e-03 
  130       9.589185613842e-03       5.198047498917e-03       3.339721162126e-03 
  131       9.633023691825e-03       5.246842415711e-03       3.367069892559e-03 
  132       9.676075558182e-03       5.295703297137e-03       3.394558420249e-03 
  133       9.718366600305e-03       5.344611807243e-03       3.422194924231e-03 
  134       9.759923325958e-03       5.393548322381e-03       3.449987589986e-03 
  135       9.800773368188e-03       5.442491901982e-03       3.477944603425e-03 
  136       9.840945490238e-03       5.491420259338e-03       3.506074144870e-03 
  137       9.880469590468e-03       5.540309732384e-03       3.534384383036e-03 
  138       9.919376707265e-03       5.589135254477e-03       3.562883469015e-03 
  139       9.957699023962e-03       5.637870325173e-03       3.591579530252e-03 
  140       9.995469873747e-03       5.686486981013e-03       3.620480664533e-03 
  141       1.003272374459e-02       5.734955766300e-03       3.649594933962e-03 
  142       1.006949628413e-02       5.783245703880e-03       3.678930358946e-03 
  143       1.010582430464e-02       5.831324265920e-03       3.708494912175e-03 
  144       1.014174262527e-02       5.879160457347e-03       3.738295175298e-03 
  145       1.017727423771e-02       5.926734470441e-03       3.768332172402e-03 
  146       1.021243917586e-02       5.974028930939e-03       3.798605112415e-03 
  147       1.024725757822e-02       6.021025859616e-03       3.829112675952e-03 
  148       1.028174967465e-02       6.067706660959e-03       3.859853001599e-03 
  149       1.031593577307e-02       6.114052111831e-03       3.890823672222e-03 
  150       1.034983624626e-02       6.160042350143e-03       3.922021701253e-03 
  151       1.038347151855e-02       6.205656863521e-03       3.953443518991e-03 
  152       1.041686205259e-02       6.250874477976e-03       3.985084958896e-03 
  153       1.045002833605e-02       6.295673346574e-03       4.016941243887e-03 
  154       1.048299086841e-02       6.340030938105e-03       4.049006972638e-03 
  155       1.051577014765e-02       6.383924025749e-03       4.081276105870e-03 
  156       1.054838665704e-02       6.427328675749e-03       4.113741952651e-03 
  157       1.058086085182e-02       6.470220236077e-03       4.146397156692e-03 
  158       1.061321314599e-02       6.512573325106e-03       4.179233682642e-03 
  159       1.064546389903e-02       6.554361820277e-03       4.212242802383e-03 
  160       1.067763340262e-02       6.595558846767e-03       4.245415081328e-03 
  161       1.070973989893e-02       6.636140352392e-03       4.278741454578e-03 
  162       1.074179346616e-02       6.676096211359e-03       4.312216591120e-03 
  163       1.077380156444e-02       6.715420085362e-03       4.345835802332e-03 
  164       1.080577093349e-02       6.754105930795e-03       4.379593970252e-03 
  165       1.083770757034e-02       6.792148003921e-03       4.413485538891e-03 
  166       1.086961670697e-02       6.829540866042e-03       4.447504505543e-03 
  167       1.090150278804e-02       6.866279388666e-03       4.481644412097e-03 
  168       1.093336944857e-02       6.902358758676e-03       4.515898336346e-03 
  169       1.096521949157e-02       6.937774483498e-03       4.550258883294e-03 
  170       1.099705486578e-02       6.972522396275e-03       4.584718176473e-03 
  171       1.102887664331e-02       7.006598661029e-03       4.619267849248e-03 
  172       1.106068499736e-02       7.039999777832e-03       4.653899036131e-03 
  173       1.109247917987e-02       7.072722587980e-03       4.688602364088e-03 
  174       1.112425749923e-02       7.104764279153e-03       4.723367943852e-03 
  175       1.115601729793e-02       7.136122390592e-03       4.758185361231e-03 
  176       1.118775493027e-02       7.166794818261e-03       4.793043668422e-03 
  177       1.121946574004e-02       7.196779820021e-03       4.827931375316e-03 
  178       1.125114403818e-02       7.226076020797e-03       4.862836440814e-03 
  179       1.128278308049e-02       7.254682417747e-03       4.897746264134e-03 
  180       1.131437640433e-02       7.282599765560e-03       4.932648297460e-03 
  181       1.134592200427e-02       7.309834844704e-03       4.967531956498e-03 
  182       1.137741844626e-02       7.336396543166e-03       5.002386845454e-03 
  183       1.140886352128e-02       7.362294516997e-03       5.037202142989e-03 
  184       1.144025422796e-02       7.387539200558e-03       5.071966595813e-03 
  185       1.147158675533e-02       7.412141816774e-03       5.106668512290e-03 
  186       1.150285646546e-02       7.436114387388e-03       5.141295756033e-03 
  187       1.153405787617e-02       7.459469743213e-03       5.175835739503e-03 
  188       1.156518464372e-02       7.482221534378e-03       5.210275417610e-03 
  189       1.159622954550e-02       7.504384240591e-03       5.244601281311e-03 
  190       1.162718446270e-02       7.525973181382e-03       5.278799351207e-03 
  191       1.165804036301e-02       7.547004526360e-03       5.312855171145e-03 
  192       1.168878728331e-02       7.567495305463e-03       5.346753801814e-03 
  193       1.171941431236e-02       7.587463419211e-03       5.380479814347e-03 
  194       1.174990957348e-02       7.606927648958e-03       5.414017283916e-03 
  195       1.178026020723e-02       7.625907667147e-03       5.447349783335e-03 
  196       1.181045235413e-02       7.644424047556e-03       5.480460376655e-03 
  197       1.184047113731e-02       7.662498275556e-03       5.513331612768e-03 
  198       1.187030064521e-02       7.680152758360e-03       5.545945518999e-03 
  199       1.189992391430e-02       7.697410835278e-03       5.578283594711e-03 
  200       1.192932291172e-02       7.714296787966e-03       5.610326804900e-03 
  201       1.195848180730e-02       7.730833905925e-03       5.642057710013e-03 
  202       1.198739708610e-02       7.747038507689e-03       5.673467038248e-03 
  203       1.201606812564e-02       7.762925511839e-03       5.704547570920e-03 
  204       1.204449396402e-02       7.778510347844e-03       5.735292048354e-03 
  205       1.207267329233e-02       7.793808960571e-03       5.765693169801e-03 
  206       1.210060444701e-02       7.808837814785e-03       5.795743593345e-03 
  207       1.212828540232e-02       7.823613899654e-03       5.825435935818e-03 
  208       1.215571376269e-02       7.838154733258e-03       5.854762772716e-03 
  209       1.218288675519e-02       7.852478367086e-03       5.883716638104e-03 
  210       1.220980122190e-02       7.866603390546e-03       5.912290024536e-03 
  211       1.223645361231e-02       7.880548935468e-03       5.940475382963e-03 
  212       1.226283997579e-02       7.894334680608e-03       5.968265122645e-03 
  213       1.228895595392e-02       7.907980856153e-03       5.995651611070e-03 
  214       1.231479677295e-02       7.921508248223e-03       6.022627173856e-03 
  215       1.234035723621e-02       7.934938203381e-03       6.049184094674e-03 
  216       1.236563171650e-02       7.948292633132e-03       6.075314615154e-03 
  217       1.239061414851e-02       7.961594018430e-03       6.101010934799e-03 
  218       1.241529802120e-02       7.974865414181e-03       6.126265210898e-03 
  219       1.243967637028e-02       7.988130453749e-03       6.151069558440e-03 
  220       1.246374177055e-02       8.001413353461e-03       6.175416050023e-03 
  221       1.248748632834e-02       8.014738917108e-03       6.199296715770e-03 
  222       1.251090167391e-02       8.028132540453e-03       6.222703543238e-03 
  223       1.253397895388e-02       8.041620215735e-03       6.245628477336e-03 
  224       1.255671128008e-02       8.055225364067e-03       6.268064935162e-03 
  225       1.257910126691e-02       8.068959097057e-03       6.290012458926e-03 
  226       1.260115396398e-02       8.082829337704e-03       6.311472362055e-03 
  227       1.262287444145e-02       8.096843933192e-03       6.332446244653e-03 
  228       1.264426778829e-02       8.111010651841e-03       6.352935997017e-03 
  229       1.266533911057e-02       8.125337180055e-03       6.372943803164e-03 
  230       1.268609352967e-02       8.139831119276e-03       6.392472144343e-03 
  231       1.270653618059e-02       8.154499982940e-03       6.411523802560e-03 
  232       1.272667221015e-02       8.169351193420e-03       6.430101864093e-03 
  233       1.274650677531e-02       8.184392078987e-03       6.448209723014e-03 
  234       1.276604504138e-02       8.199629870754e-03       6.465851084711e-03 
  235       1.278529218031e-02       8.215071699635e-03       6.483029969400e-03 
  236       1.280425336891e-02       8.230724593289e-03       6.499750715652e-03 
  237       1.282293378717e-02       8.246595473081e-03       6.516017983911e-03 
  238       1.284133861645e-02       8.262691151024e-03       6.531836760008e-03 
  239       1.285947303779e-02       8.279018326739e-03       6.547212358689e-03 
  240       1.287734223014e-02       8.295583584403e-03       6.562150427127e-03 
  241       1.289495136862e-02       8.312393389701e-03       6.576656948447e-03 
  242       1.291230562280e-02       8.329454086777e-03       6.590738245241e-03 
  243       1.292941015494e-02       8.346771895188e-03       6.604400983091e-03 
  244       1.294627011824e-02       8.364352906856e-03       6.617652174087e-03 
  245       1.296289065511e-02       8.382203083016e-03       6.630499180348e-03 
  246       1.297927689546e-02       8.400328251173e-03       6.642949717537e-03 
  247       1.299543395489e-02       8.418734102051e-03       6.655011858387e-03 
  248       1.301136693300e-02       8.437426186542e-03       6.666694036214e-03 
  249       1.302708091164e-02       8.456409912664e-03       6.678005048444e-03 
