# dimensionless total [l(l+1)/2pi] C_l's
# for l=1 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[2]-dens[2]        4:dens[3]-dens[3]    
   89       6.960215267700e-03       3.383585064892e-03       2.211380695963e-03 
   90       7.041515320717e-03       3.423991859028e-03       2.241822569769e-03 
   91       7.122323310775e-03       3.464443984379e-03       2.272015294070e-03 
   92       7.202582219717e-03       3.504980884625e-03       2.301964594194e-03 
   93       7.282236955796e-03       3.545638630124e-03       2.331676626782e-03 
   94       7.361255955030e-03       3.586431864241e-03       2.361154657609e-03 
   95       7.439612519393e-03       3.627369188979e-03       2.390401951996e-03 
   96       7.517278160920e-03       3.668458579491e-03       2.419422812718e-03 
   97       7.594222520487e-03       3.709707338189e-03       2.448222603436e-03 
   98       7.670413286576e-03       3.751122048865e-03       2.476807772136e-03 
   99       7.745816114049e-03       3.792708530804e-03       2.505185874565e-03 
  100       7.820394542923e-03       3.834471792906e-03       2.533365597662e-03 
  101       7.894109917138e-03       3.876415987795e-03       2.561356782999e-03 
  102       7.966921303335e-03       3.918544365944e-03       2.589170450214e-03 
  103       8.038785409623e-03       3.960859229785e-03       2.616818820444e-03 
  104       8.109662781289e-03       4.003363813091e-03       2.644314116290e-03 
  105       8.179537516067e-03       4.046068307076e-03       2.671664726589e-03 
  106       8.248400073081e-03       4.088984566583e-03       2.698878564835e-03 
  107       8.316241221632e-03       4.132124233083e-03       2.725964256263e-03 
  108       8.383052028942e-03       4.175498709954e-03       2.752931147837e-03 
  109       8.448823847912e-03       4.219119137749e-03       2.779789318244e-03 
  110       8.513548304863e-03       4.262996369469e-03       2.806549587881e-03 
  111       8.577217287293e-03       4.307140945843e-03       2.833223528850e-03 
  112       8.639822931622e-03       4.351563070594e-03       2.859823474944e-03 
  113       8.701357610941e-03       4.396272585716e-03       2.886362531644e-03 
  114       8.761813922768e-03       4.441278946747e-03       2.912854586104e-03 
  115       8.821184676790e-03       4.486591198041e-03       2.939314317143e-03 
  116       8.879465636953e-03       4.532215657999e-03       2.965755925113e-03 
  117       8.936664152134e-03       4.578148708343e-03       2.992189124930e-03 
  118       8.992791556673e-03       4.624383077637e-03       3.018622682364e-03 
  119       9.047860521903e-03       4.670910008405e-03       3.045065649258e-03 
  120       9.101885068248e-03       4.717719212157e-03       3.071527362204e-03 
  121       9.154880577331e-03       4.764798824410e-03       3.098017441215e-03 
  122       9.206863804074e-03       4.812135359718e-03       3.124545788393e-03 
  123       9.257852888797e-03       4.859713666693e-03       3.151122586606e-03 
  124       9.307867369329e-03       4.907516883034e-03       3.177758298159e-03 
  125       9.356928193103e-03       4.955526390553e-03       3.204463663465e-03 
  126       9.405057729265e-03       5.003721770196e-03       3.231249699716e-03 
  127       9.452279780770e-03       5.052080757072e-03       3.258127699561e-03 
  128       9.498619596492e-03       5.100579195478e-03       3.285109229771e-03 
  129       9.544102878376e-03       5.149193196853e-03       3.312205474936e-03 
  130       9.588752654070e-03       5.197905976832e-03       3.339425189955e-03 
  131       9.632592082493e-03       5.246701686727e-03       3.366776519374e-03 
  132       9.675645432890e-03       5.295563248900e-03       3.394267626280e-03 
  133       9.717938089745e-03       5.344472327557e-03       3.421906686282e-03 
  134       9.759496557690e-03       5.393409299534e-03       3.449701881503e-03 
  135       9.800348466421e-03       5.442353225085e-03       3.477661394557e-03 
  136       9.840522575606e-03       5.491281818673e-03       3.505793402542e-03 
  137       9.880048779796e-03       5.540171419759e-03       3.534106071020e-03 
  138       9.918958113341e-03       5.588996963586e-03       3.562607548006e-03 
